Clase_Plato,Ingredientes_Allrecipes
apple_pie,"1 9-inch pie crust | 5 large Granny Smith apples - peeled, cored and sliced | 0.5 cup white sugar | 2 tablespoons all-purpose flour | 0.5 teaspoon ground cinnamon | 2 tablespoons lemon juice | 0.5 cup white sugar | 0.5 cup all-purpose flour | 0.5 cup butter"
baby_back_ribs,"3 pounds baby back ribs, trimmed | salt and ground black pepper, to taste | 0.5 cup water | 0.5 onion, sliced | 1 clove garlic, minced | 1 (18 ounce) bottle barbeque sauce"
baklava,1 cup butter | 1 pound chopped nuts | 1 teaspoon ground cinnamon | 1 (16 ounce) package phyllo dough | 1 cup water | 1 cup white sugar | 0.5 cup honey | 1 teaspoon vanilla extract
beef_carpaccio,"6 2-inch beets, trimmed, as evenly sized as possible | 2 ounces soft fresh goat cheese, or more to taste | sea salt and freshly ground black pepper to taste | 0.33333334326744 cup rice vinegar | 0.25 cup chopped fresh mint | 0.25 cup olive oil | 1 teaspoon white sugar"
beef_tartare,"1 pound finely ground beef tenderloin | 1 teaspoon brown mustard | 0.5 teaspoon hot pepper sauce (e.g. Tabasco™), or to taste | 1 teaspoon Worcestershire sauce | 1 teaspoon brandy | 1 pinch salt, or to taste | ground white pepper to taste | 1 egg"
beet_salad,"6 large beets, trimmed | 0.25 cup extra virgin olive oil | salt and ground black pepper to taste | 1 (8 ounce) package baby spinach leaves | 2 tomatoes, cut into bite-sized pieces | 2 avocados - peeled, pitted, and cut into bite-sized pieces | 0.5 red onion, chopped, or to taste | 1 (4 ounce) container crumbled feta cheese | 0.5 cup balsamic vinegar | 0.5 cup extra-virgin olive oil | 1 tablespoon Dijon mustard, or more to taste"
beignets,"1 (.25 ounce) package active dry yeast | 1.5 cups warm water (110 degrees F/45 degrees C) | 1 cup evaporated milk | 0.5 cup white sugar | 2 eggs | 1 teaspoon salt | 7 cups all-purpose flour, divided | 0.25 cup shortening | 1 quart vegetable oil for frying | 0.25 cup confectioners' sugar"
bibimbap,"2 tablespoons sesame oil | 1 cup carrot matchsticks | 1 cup zucchini matchsticks | 0.5 (14 ounce) can bean sprouts, drained | 6 ounces canned bamboo shoots, drained | 1 (4.5 ounce) can sliced mushrooms, drained | 0.125 teaspoon salt to taste | 2 cups cooked and cooled rice | 0.33333334326744 cup sliced green onions | 2 tablespoons soy sauce | 0.25 teaspoon ground black pepper | 1 tablespoon butter | 3 eggs | 3 teaspoons sweet red chili sauce, or to taste"
bread_pudding,"3 cups whole milk | 1.5 cups white sugar | 0.25 cup butter, melted | 3 eggs, beaten | 2 tablespoons light brown sugar | 0.5 teaspoon ground cinnamon | 10 slices hearty farmhouse-style bread, toasted and cut into cubes | 1 cup raisins | 1.25 cups whole milk | 0.5 cup light brown sugar | 2 tablespoons butter, melted | 1 egg | 1 tablespoon all-purpose flour | 1 pinch ground cinnamon | 1 pinch salt | 1 tablespoon vanilla extract"
breakfast_burrito,1 pound bacon | 10 eggs | 1 (16 ounce) can refried beans | 8 ounces shredded Cheddar cheese | 10 (10 inch) flour tortillas
