Clase_Plato,Ingredientes_Allrecipes
apple_pie,pie crust | granny smith apples | white sugar | all purpose flour | cinnamon | lemon juice | butter
baby_back_ribs,baby back ribs | salt | black pepper | water | onion | garlic | barbeque sauce
baklava,butter | nuts | cinnamon | phyllo dough | water | white sugar | honey | vanilla extract
beef_carpaccio,beets as evenly sized as possible | soft goat cheese or more | sea salt | black pepper | rice vinegar | mint | olive oil | white sugar
beef_tartare,beef tenderloin | brown mustard | hot pepper sauce or | worcestershire sauce | brandy | salt or | white pepper | egg
beet_salad,beets | extra virgin olive oil | salt | black pepper | baby spinach leaves | tomatoes bite sized | avocados pitted | bite sized | red onion or | crumbled feta cheese | balsamic vinegar | dijon mustard or more
beignets,active dry yeast | warm water | evaporated milk | white sugar | eggs | salt | all purpose flour | shortening | vegetable oil for frying | confectioners' sugar
bibimbap,sesame oil | carrot matchsticks | zucchini matchsticks | bean sprouts | canned bamboo shoots | mushrooms | salt | rice | green onions | soy sauce | black pepper | butter | eggs | sweet red chili sauce or
bread_pudding,milk | white sugar | butter | eggs | light brown sugar | cinnamon | hearty farmhouse style bread toasted | cubes | raisins | egg | all purpose flour | salt | vanilla extract
breakfast_burrito,bacon | eggs | refried beans | shredded cheddar cheese | flour tortillas
bruschetta,loaf french bread | extra virgin olive oil | roma tomatoes | basil | parmesan cheese | garlic | good quality balsamic vinegar | kosher salt | black pepper
caesar_salad,bacon | skinless boneless chicken breast strips | cajun seasoning | light olive oil | romaine lettuce dried | caesar salad dressing | parmesan cheese
cannoli,ricotta cheese | cream cheese at room temperature | confectioners' sugar | vanilla extract | miniature semisweet chocolate chips
caprese_salad,balsamic vinegar | honey | tomatoes | mozzarella cheese | salt | black pepper | basil leaves | extra virgin olive oil
carrot_cake,white sugar | vegetable oil | eggs | vanilla extract | all purpose flour | baking soda | baking powder | cinnamon | salt | carrots | pecans | confectioners' sugar | cream cheese | butter
ceviche,bay scallops | limes juiced | celery | tomatoes | green bell pepper | green onions | parsley | cilantro | olive oil | black pepper
cheesecake,graham cracker crust | cream cheese | eggs | white sugar | vanilla extract | lemon zest
cheese_plate,dry fettuccine pasta | heavy whipping cream | butter | tomato sauce | garlic | broccoli florets | mushrooms | salt | black pepper | parmesan cheese
chicken_curry,olive oil | onions | curry powder or | skinless boneless chicken breast strips
chicken_quesadilla,skinless boneless chicken breast | packet fajita seasoning | vegetable oil | green bell peppers | red bell peppers | onion | flour tortillas | shredded cheddar cheese | shredded monterey jack cheese | bacon bits
chicken_wings,brown sugar | yellow mustard | soy sauce | chicken wings thirds | tips discarded
chocolate_cake,evaporated milk | brown sugar | butter | egg yolks | vanilla extract | flaked coconut | pecans
chocolate_mousse,cold milk | instant chocolate pudding mix | frozen whipped topping thawed
churros,water | white sugar | vegetable oil | salt | all purpose flour | oil for frying | white sugar or | cinnamon
clam_chowder,bacon | onion | cubed potatoes | water | salt | black pepper | butter | clams
club_sandwich,bacon | bread toasted | mayonnaise | leaves lettuce | deli turkey breast | tomato
crab_cakes,egg | mayonnaise | green onions | lemon juice | dried tarragon | red pepper flakes | crabmeat | buttery round crackers | butter
creme_brulee,heavy cream | white sugar | egg yolks | vanilla extract
croque_madame,butter | shredded cheddar cheese | white bread | ham | egg
cup_cakes,graham cracker crumbs | pecans | butter | raspberries | cream cheese | sweetened condensed milk | frozen whipped topping thawed
